Contrato,Criação da OS,Tipo,Status,Executado Dia,Deslocamento,Total (m),Observações de Campo,OS,Sondador,Latitude,Longitude
SUP-7133-24,19/06/2026,SM,PENDENTE,,,,,17749-26,,-25.55667703,-49.34752807
SUP-7133-24,01/06/2026,SP,PENDENTE,,,,,17667-26,,-25.55092944,-49.33055977
SUP-7133-24,14/07/2026,SM,PENDENTE,,,,,17705-26,,-25.40781933,-49.36448035
SUP-7133-24,14/07/2026,SM,PENDENTE,,,,,17705-26,,-25.40234814,-49.36211898
SUP-7133-24,14/07/2026,SM,PENDENTE,,,,,17705-26,,-25.41747062,-49.36427164
SUP-7133-24,14/07/2026,SP,PENDENTE,,,,,17705-26,,-25.40941406,-49.36477861
SUP-7133-24,14/07/2026,SP,PENDENTE,,,,,17705-26,,-25.39286938,-49.35883056
SUP-7133-24,14/07/2026,SP,PENDENTE,,,,,17705-26,,-25.39204853,-49.35798356
SUP-7133-24,14/07/2026,SP,PENDENTE,,,,,17705-26,,-25.39092789,-49.35713063
SUP-7133-24,14/07/2026,SM,PENDENTE,,,,,17711-26,,-25.4349682,-49.36543649
SUP-7133-24,14/07/2026,SM,PENDENTE,,,,,17711-26,,-25.43454465,-49.36551043
SUP-7133-24,14/07/2026,SP,PENDENTE,,,,,17711-26,,-25.434418,-49.366111
SUP-7133-24,14/07/2026,SP,PENDENTE,,,,,17711-26,,-25.4334949,-49.36636914
SUP-7133-24,14/07/2026,SP,PENDENTE,,,,,17711-26,,-25.43316749,-49.36690362
SUP-7133-24,14/07/2026,ST,PENDENTE,,,,,17711-26,,-25.43410457,-49.36512893
SUP-7133-24,11/02/2026,SP,PENDENTE,,,,,17250-26,,-25.45703147,-49.63936951
SUP-7133-24,11/02/2026,SP,PENDENTE,,,,,17250-26,,-25.45058562,-49.62085437
SUP-7133-24,11/06/2026,CPTU,PENDENTE,,,,,17703-26,,-25.43459434,-49.99446118
SUP-7133-24,11/06/2026,SP,PENDENTE,,,,,17703-26,,-25.43498613,-49.99466907
SUP-7133-24,11/06/2026,SP,PENDENTE,,,,,17703-26,,-25.43443089,-49.99564725
SUP-7133-24,11/06/2026,SP,PENDENTE,,,,,17703-26,,-25.43444203,-49.99653249
